,sid,filename,begin,end,transcript,description,caption,chars_query,selected_character,chars_all
0,175-1,5531550228324592939.xml,0.0,0.12,,,a man is riding a skateboard and doing tricks,,,
1,175-2,5531550228324592939.xml,0.13,0.24,,,a man is skateboarding down a ramp,,,
2,175-3,5531550228324592939.xml,1.0,1.18,,,a man is riding a skateboard and doing tricks,,,
3,175-4,5531550228324592939.xml,1.19,2.05,,,a car is driving on a track and then crashes into the barrier,,,
4,175-5,5531550228324592939.xml,2.06,24.13,,,a bird is perched on a tree branch,,,
5,175-6,5531550228324592939.xml,24.14,25.05,,,a man is dancing in a room with a lot of people,,,
6,175-7,5531550228324592939.xml,25.06,28.07,"Getting all dolled up, going somewhere nice tonight?",,a woman is sitting at a desk with a laptop,Ryan,,
7,175-8,5531550228324592939.xml,28.08,28.22,,,a man is sitting at a desk and talking to a woman,,,
8,175-9,5531550228324592939.xml,28.23,29.07,,,a woman is sitting at a desk and talking,,,
9,175-10,5531550228324592939.xml,29.08,31.15,"Yeah, curry night at Dad's. ",,a man is pouring a drink into a glass,Ryan,,
10,175-11,5531550228324592939.xml,31.16,34.15,Wicked.  If you like yesterday's chicken with a tin of curry sauce chucked all over it.,,a woman is talking to a man and he is smiling,,,
11,175-12,5531550228324592939.xml,34.16,35.0,,,a woman is talking to a man and he is smiling,Ryan,,
12,175-13,5531550228324592939.xml,35.01,36.1,"In your condition it's nice to have  someone cook for you, innit?",,a woman is kissing a man on the cheek,Ryan,Ryan,
13,175-14,5531550228324592939.xml,36.11,44.08,"My condition?  I'm pregnant, not paralysed. Even so, carrying all that around.  Oi,  that's my baby you're talking about.",,a woman is kissing a man on his cheek,Ryan,,
14,175-15,5531550228324592939.xml,44.09,46.23,,,a woman is drinking from a bottle and then she falls,Ryan,,
15,175-16,5531550228324592939.xml,46.24,49.16,"I know. But look,  you've got to take it easy. I ain't got to take it anything. ",,a woman is talking to a man and he is smiling,Ryan,,
16,175-17,5531550228324592939.xml,49.17,55.16,"All right, ""I ain't got  to take it anything."" Come out tonight.  What's this?",,a woman in a pink dress is dancing,Ryan,,
17,175-18,5531550228324592939.xml,55.17,57.07,,,a man is talking to a woman and she is smiling,,,
18,175-19,5531550228324592939.xml,57.08,59.19,"What it says it is, special night  at R&R's. Happy Mondays.",,a man is kissing a woman on the cheek,Ryan,,
19,175-20,5531550228324592939.xml,59.2,61.12,,,a woman is talking to a man and he is smiling,,,
20,175-21,5531550228324592939.xml,61.13,76.03,"Yeah? What's happy about it?  Happy hour all night, on everything.  It's going to be a thomping night.  Yeah, who says?  Says her who owns this place  and works there. Listen, when that closed sign  goes up I'm going to be squeezing this  delectable body into something that clings in all the right places,",,a woman is dancing in front of a mirror,Ryan,Ryan,
21,175-22,5531550228324592939.xml,76.04,78.02,,,a man is talking to a woman and she is smiling,Ryan,,
22,175-23,5531550228324592939.xml,78.03,80.01,,,a woman is dancing in a room,Ryan,,
