,Unnamed: 0,begin,end,filename,shot_id,transcript,topic,score
9851,9851,01:06:29:21,01:06:31:01,5256228221757951173.xml,1140,"Bit full-on -  ""Lee, here's my sister, Jane.""",drama,0.9988545775413513
17195,17195,01:35:43:00,01:35:46:16,5266645664934403562.xml,1764,Then it grabs me off the front row.  This is a wind up. ,drama,0.9974137544631958
15721,15721,00:14:36:17,00:14:41:24,5266645664934403562.xml,290,"It's been quite a week for you,  the alleged incident with the gun...",drama,0.9971190094947815
4783,4783,00:23:46:19,00:23:49:17,5251033029316736209.xml,467,"Well, the doors are about to burst. ",drama,0.9963008761405945
13142,13142,00:13:37:01,00:13:39:00,5264050645694159353.xml,293,What?  We've got a sausage roll crisis.,drama,0.9962959289550781
3779,3779,01:23:55:21,01:23:57:12,5248439298566680341.xml,1699,"Look, it was a messy divorce.  What's with all the questions?",drama,0.9958207607269287
12423,12423,01:33:21:06,01:33:24:00,5258818087037440299.xml,1792,"Well, she gave us a bit  of a scare there, didn't she.",drama,0.995789110660553
17606,17606,00:02:55:15,00:02:56:23,5269245838135402929.xml,70,There's been some trouble. ,drama,0.9955525398254395
15833,15833,00:21:06:09,00:21:07:16,5266645664934403562.xml,402,"You throw a strop, stomp out,  leave me in the lurch like that.",drama,0.9948990941047668
3392,3392,01:05:52:20,01:05:56:14,5248439298566680341.xml,1312,"Tiff was screaming her head off,  an' to top it all the wheel on me buggy broke.",drama,0.9947037100791931
21386,21386,00:17:14:17,00:17:18:04,5274434588125702436.xml,293,Things got a bit... ,drama,0.9946537613868713
9562,9562,00:49:14:08,00:49:18:19,5256228221757951173.xml,851,Suzy?  What about her?  Well... she's accusing me of cheating on you. Apparently with Suzy.,drama,0.9944922924041748
6074,6074,01:30:08:04,01:30:10:16,5251033029316736209.xml,1758,It was the night from hell.  Me and Max?!,drama,0.9943877458572388
3389,3389,01:05:45:01,01:05:48:05,5248439298566680341.xml,1309,"Didn't I?  It was mad.  Me an' the kids, we'd just been  on this massive shop, right.",drama,0.9941425323486328
2609,2609,00:27:55:08,00:27:57:01,5248439298566680341.xml,529,The play. ,drama,0.9938701391220093
21773,21773,00:37:38:24,00:37:41:10,5274434588125702436.xml,680,"It was killer walking out,  I'm telling you.",drama,0.9938192367553711
20393,20393,01:11:20:19,01:11:23:10,5271844722846213628.xml,1363,"Let's see what happens when  she comes out of here. ""She""?  It's Amy.",drama,0.9936994910240173
555,555,00:32:00:11,00:32:03:13,5245830105934359183.xml,556,"What, move out?  Yeah it was never gonna be easy, you and Tony under the same roof.",drama,0.992851972579956
16682,16682,01:05:59:06,01:06:00:21,5266645664934403562.xml,1251,and we're all getting under each  other's feet.,drama,0.9928474426269531
12727,12727,01:51:18:04,01:51:21:21,5258818087037440299.xml,2096,Going in all guns blazing it isn't  everything it's cracked up to be.,drama,0.9926468133926392
12656,12656,01:47:13:23,01:47:14:10,5258818087037440299.xml,2025,"SHE GASPS AND SHOUTS  Ian, what has gotten into you?!",drama,0.9923983216285706
