,Unnamed: 0,scene_id,scene_text,in_summary,aspects,prediction,aspect?,topic,score,prediction_class
25,25,25,"[' ( The car door opens and BRAD LEWIS exits the car before GWEN ANDERSON . )', "" ( There 's a large crowd in front of the entrance consisting of various reporters and curious onlookers . )"", ' ( Cameras flash as they make their way toward the front door . )', ' ( GRISSOM exits the front of the building to help . )', ' ( People push their way toward her . )', ' ( GRISSOM pushes out and grabs GWEN ANDERSON and guides her toward the front door . )', ' [[Reporter_(man)]] baby killer !', ' [[Female_Parent]] you should die !', ' [[Female_Parent]] female parent : you call yourself a mother ?', "" [[Female_Parent]] female parent : you 're the worst !"", ' [[Male_Parent]] male parent : someone should take those other kids from you !', ' ( On the way to the door , Someone pushing toward them knocks into GRISSOM and hits him in the eye . )', "" [[Male_Media]] did you kill zachary over your husband 's affair ?"", ' [[Male_Media]] did you act alone or did tyler help ?', ' [[Female_Parent]] baby killer !', ' [[Female_Parent]] bitch !', ' [[Female_Parent]] killer !', ' [[Female_Parent]] you deserve to die !', ' ( GWEN ANDERSON and BRAD LEWIS make it to the front door . )', ' ( A reporter stops GRISSOM . )', ' [[Reporter_(man)]] gil grissom !', ' ( GRISSOM turns around . )', ' [[Reporter_(man)]] you found the baby', ' [[Reporter_(man)]] how hard is it for you to look at gwen anderson ?', ' [[Grissom]] let me tell you something', ' [[Grissom]] people are presumed innocent ... innocent until a court of law can examine all the evidence and prove otherwise', ' [[Grissom]] until then everything else is ... gossip', ' ( Done , GRISSOM heads into the building . )', ' [[Man_In_Crowd]] she deserves to be put in jail !', ' [[Man_In_Crowd]] reporter : gil grissom', ' [[Man_In_Crowd]] gil grissom !']",0,None,0,0,Murder,0.8084502816200256,1
24,24,24,"[' ( In the breakroom , GRISSOM and CATHERINE discuss the case with DR. PHILLIP KANE . )', ' [[Catherine]] a wife kills her baby to get back at her husband over his affair', ' [[Catherine]] come on', ' [[Catherine]] any woman would go after the husband , not the baby', ' [[Dr._Phillip_Kane]] true', ' [[Dr._Phillip_Kane]] but , in some instances women have been known to kill their children as a way to pay back a spouse', "" [[Dr._Phillip_Kane]] particularly if it 's over an affair and particularly if the child was a male child"", "" [[Catherine]] well , i do n't buy it"", "" [[Catherine]] i just do n't buy it , doctor"", ' [[Catherine]] she really loved that baby', "" [[Dr._Phillip_Kane]] well , catherine that 's why she 's in this much pain now"", ' [[Catherine]] a guy cheats , but the wife commits murder', ' [[Catherine]] how come moms always end up the bad guy with you freud types ?', "" [[Brass]] that 's because this mother is the bad guy"", ' ( Everyone turns to listen to BRASS , who just walked into the room . )', ' [[Brass]] cnn just dug up a 13-year-old charge against gwen anderson', ' [[Brass]] i heard it on the car radio', ' [[Grissom]] what kind of charge ?', "" [[Brass]] it 's called shaken baby syndrome"", ' [[Brass]] the oldest boy -- tyler ?', ' [[Brass]] when he was a newborn she shook him so hard they had to go to the hospital', ' [[Brass]] she shook the kid unconscious', ' [[Catherine]] is this authentic ?', ' [[Brass]] yeah', ' [[Brass]] they were on the phone with the arresting officer from oregon', ' [[Brass]] he faxed me this report', ' [[Brass]] our grieving mother ... her record for child abuse', ' ( BRASS hands the file to GRISSOM in front of a shocked CATHERINE . )']",0,None,1,0,Murder,0.7082633972167969,1
27,27,27,"[' [[Gwen_Anderson]] i never meant to hurt tyler', ' [[Gwen_Anderson]] you have to understand', ' [[Grissom]] you shook him unconscious', ' [[Gwen_Anderson]] he was choking', ' [[Brass]] all on his own ?', "" [[Brad_Lewis]] change your tone or i 'll end this right now"", "" [[Brass]] well , it 's a legitimate question"", ' [[Brass]] but i have to work on my tone', "" [[Brass]] you 're right"", "" [[Brass]] i 'll try again all on his own ?"", ' [[Catherine]] go ahead , mrs anderson', ' [[Gwen_Anderson]] he had gotten food in his windpipe', ' [[Gwen_Anderson]] his face was ... turning red', ' [[Gwen_Anderson]] steve was at work', ' [[Gwen_Anderson]] so , i , i patted him on his back and-and on ... and on his stomach', ' [[Gwen_Anderson]] and finally , i turned him upside down and i started shaking him to get the food out ... to ... to dislodge it , and i did', ' [[Gwen_Anderson]] but i realized that i had hurt him , so i called 911', ' [[Brad_Lewis]] she was a new mother -- 23 years old', "" [[Brad_Lewis]] if she 'd meant to harm her son why would she call 911 ?"", ' [[Grissom]] did the e.r', "" [[Grissom]] find proof that there was food lodged in tyler 's throat ?"", ' [[Brad_Lewis]] no', "" [[Brad_Lewis]] that 's why the police were called in and by the time my client went home and found the chewed food on the kitchen floor it was all too late"", ' [[Brad_Lewis]] she was branded', ' [[Gwen_Anderson]] it was a french fry', "" [[Gwen_Anderson]] he 'd grabbed it from my plate"", ' [[Brad_Lewis]] as for the death of little zachary , my client categorically denies any involvement', "" [[Brad_Lewis]] she 's a victim of an intruder who entered her home and abducted and killed her child"", ' [[Brad_Lewis]] thank you all for your continued efforts to find the real killer', ' ( BRAD LEWIS moves to stand up . )', ' ( GRISSOM stops them . )', ' [[Grissom]] did you know that your golf course paints its grass ?', ' [[Gwen_Anderson]] excuse me ?', "" [[Grissom]] it 's actually a vegetable dye"", ' [[Grissom]] biodegradable', "" [[Grissom]] they 've been using green dye on television tournaments for several years"", "" [[Brad_Lewis]] what 's your point ?"", "" [[Grissom]] i found a pair of nylons in the back of your husband 's closet"", ' [[Brass]] we , uh we have a receipt that links them to your client', ' [[Grissom]] the exact same dye from the golf course where zachary was laid to rest is on your nylons', ' [[Brad_Lewis]] she belongs to the club', ' [[Brad_Lewis]] grass stains', "" [[Catherine]] but she does n't play golf"", ' [[Catherine]] remember our conversation , mrs anderson ?', "" [[Catherine]] it 's not your game ?"", "" ( GWEN ANDERSON does n't say anything . )"", ' [[Brad_Lewis]] if you arrest her now ... you have 48 hours to charge her', ' [[Brad_Lewis]] you really want to show your hand at the arraignment ?', "" [[Brass]] we 'll be in touch""]",0,None,0,0,Murder,0.7036868333816528,1
14,14,14,"[' ( DR. ROBBINS goes over his findings with GRISSOM . )', "" [[Dr._Albert_Robbins]] i ca n't give you exact time of death , but i do know cause of death was asphyxiation"", ' [[Grissom]] he was smothered', ' [[Dr._Albert_Robbins]] the retinal hemorrhages are the result of intercranial pressure from an edema', ' [[Dr._Albert_Robbins]] the edema was caused by an acute lack of oxygen', ' [[Grissom]] smothered how ?', ' [[Grissom]] did you find hand marks ?', ' [[Grissom]] trauma around the mouth or nose ?', ' [[Dr._Albert_Robbins]] no', ' [[Grissom]] he was in a blanket when i found him ... wrapped pretty tight', ' [[Dr._Albert_Robbins]] positional asphyxiation ?', ' [[Dr._Albert_Robbins]] maybe', "" [[Dr._Albert_Robbins]] abductor might 've tried to protect him from the cold"", ' [[Dr._Albert_Robbins]] suffocated him by mistake', "" [[Dr._Albert_Robbins]] i 'm going to run tests on a microscopic fiber i found in his throat"", ' ( DR. ROBBINS picks up a fiber from the side to show to GRISSOM . )', ' ( Camera zooms in for a close up . )', "" [[Dr._Albert_Robbins]] but i do n't think his death was benign , gil"", ' [[Dr._Albert_Robbins]] or accidental', ' [[Dr._Albert_Robbins]] sternum was cracked', ' [[Dr._Albert_Robbins]] x rays say the fracture is fresh', ' [[Dr._Albert_Robbins]] manhandled and suffocated', "" [[Dr._Albert_Robbins]] this little guy did n't have a chance"", "" ( ROBBINS turns to look at GRISSOM after he does n't get a response from him . )""]",1,Death cause,0,1,Murder,0.6940175890922546,1
4,4,4,"[' ( BRASS questions GWEN ANDERSON and her two sons who sit close to each other on the couch . )', ' ( TYLER , the older son , holds on to ROBBIE , who is quietly playing with a phone . )', ' [[Gwen_Anderson]] do my boys have to be here ?', ' [[Gwen_Anderson]] i think this is hard enough for them without having to hear the facts', "" [[Brass]] i understand , but it 's best for our investigation if we keep the whole family together"", "" [[Tyler_Anderson]] it 's okay , mom"", ' [[Brass]] you were saying , mrs anderson ?', ' [[Gwen_Anderson]] um', ' [[Gwen_Anderson]] i got up at 4:30 , like i usually do to feed zack', "" [[Gwen_Anderson]] i 'm still breast-feeding"", "" [[Gwen_Anderson]] and i went down to zacky 's room"", ' [[Gwen_Anderson]] i looked in his crib and he was gone', "" [[Gwen_Anderson]] he was n't there"", ' ( STEVE walks into the room and takes a seat next to GWEN . )', ' ( GRISSOM follows into the room behind him . )', "" [[Gwen_Anderson]] and i felt around for him and that 's when i found the letter saying that he had been taken and i"", "" [[Gwen_Anderson]] i do n't know"", ' [[Gwen_Anderson]] i-i think i screamed', ' [[Tyler_Anderson]] you screamed , mom', "" [[Steve_Anderson]] i jumped out of bed and i went to her , and that 's when we called 9-1-1 from the upstairs hallway"", "" ( ROBBIE pressing the buttons of the phone he 's holding . )"", ' [[Robbie_Anderson]] nine-1-1-1', ' [[Tyler_Anderson]] give me the phone , robbie', ' [[Tyler_Anderson]] give me the phone', "" [[Grissom]] we 're going to need a piece of the baby 's clothing"", ' [[Grissom]] something from his hamper , if possible', "" [[Grissom]] we 're going to use scent dogs throughout the neighborhood"", "" [[Steve_Anderson]] i 'll go see what i can find"", ' [[Gwen_Anderson]] no , i know what he wears', ' ( GWEN ANDERSON stands up . )', "" [[Catherine]] i 'll go with you"", ' ( CATHERINE also stands up . )', ' ( They leave the room . )', "" [[Grissom]] i 'd also like to get blood samples from each family member"", ' [[Steve_Anderson]] why ?', ' [[Grissom]] well , the sooner we can eliminate the expected hairs and fibers from within the household , we can begin looking for outsiders', ' [[Tyler_Anderson]] is it going to hurt ?', ' [[Grissom]] i hope not']",1,Perpetrator,1,1,Murder,0.6347607374191284,1
12,12,12,"[' ( Out on the golf course , the dogs bark frantically . )', ' ( They lead the OFFICERS to a cluster of bushes under the tree . )', ' ( WARRICK and GRISSOM run to the bushes . )', ' [[Warrick]] get those dogs back', ' [[Warrick]] get them back !', ' ( WARRICK and GRISSOM find the baby dead in the center of the bushes , his body wrapped carefully in a blanket . )', ' ( The officers also reach the site . )', ' ( The TECH takes a step forward to start taking picture of the scene . )', ' ( GRISSOM stops him . )', ' [[Grissom]] stand back', ' [[CSI_Tech]] we got to have pictures', ' [[CSI_Tech]] the coroner will be all over us', "" [[Grissom]] i 'll get the pictures !"", ' ( GRISSOM grabs the camera and takes the pictures ... of his foot , of his face . )', ' ( He kneels down and takes more pictures . )', ' ( WARRICK starts to put on his gloves . )', ' ( Finished , he hands the camera back to the CSI TECH . )', ' ( The CORONER steps forward to take the body . )', ' ( GRISSOM immediately stops him . )', "" [[Grissom]] i 'm going to take him"", "" ( Everyone does n't say anything . )"", ' ( Over the hill , CATHERINE runs toward the scene . )', ' ( Behind her are GWEN and STEVE ANDERSON . )', ' ( Cut to : GRISSOM picks up the baby . )', ' [[Gwen_Anderson]] my baby !', ' [[Gwen_Anderson]] oh , my god !', ' ( CATHERINE turns around and stops GWEN ANDERSON from running toward the scene . )', ' ( With the baby in his arms , GRISSOM takes a couple steps forward . )', ' ( He looks up and sees GWEN ANDERSON beside herself while CATHERINE and STEVE try to calm her down . )', "" [[Gwen_Anderson]] it 's my baby !"", ' [[Gwen_Anderson]] my baby !', ' [[Gwen_Anderson]] my baby !', ' ( Camera holds on GRISSOM . )']",1,Victim,1,1,Murder,0.6313167810440063,1
18,18,18,"[' ( GRISSOM and CATHERINE interview TYLER ANDERSON with his parents sitting beside him . )', "" [[Tyler_Anderson]] i was playing ball in the backyard and i cracked zacky 's window"", ' [[Tyler_Anderson]] dad had told me not to hit the ball towards the house', ' [[Tyler_Anderson]] so i went up and replaced the window before anyone got home and i cut my finger on the glass', ' [[Grissom]] and you wiped up the blood with some type of pine cleanser', ' [[Tyler_Anderson]] i thought i got it all', "" [[Grissom]] let 's go back a second , tyler"", ' [[Grissom]] you said that you baby-sat for robbie and zack last night , right ?', ' [[Tyler_Anderson]] i told the police that this morning', ' ( BRASS walks into the room and closes the door . )', "" [[Steve_Anderson]] we had a homeowner 's association vote meeting"", ' [[Steve_Anderson]] it was just five doors up from our house', ' [[Gwen_Anderson]] i had , uh', ' [[Gwen_Anderson]] i had made dinner and then steve and i walked up to the clubhouse', ' [[Gwen_Anderson]] we were gone maybe 30 minutes , until 9:00', ' [[Brass]] we contacted the association', ' [[Brass]] the story checks out', ' [[Brass]] i also did a background search', "" [[Brass]] tyler has quite a temper on him , do n't you , ty ?"", ' [[Tyler_Anderson]] what ?', ' [[Brass]] you were expelled from school twice last year for physical altercation', ' [[Steve_Anderson]] that was schoolyard stuff', ' [[Catherine]] beat up a 12-year-old in the school stairwell', ' [[Tyler_Anderson]] he made fun of my mother', "" [[Tyler_Anderson]] i was n't going to let him get away with that"", "" [[Brass]] your brother zack say something you did n't like you were n't going to let him get away with either ?"", ' ( TYLER surges to his feet . )', "" [[Tyler_Anderson]] do n't talk about my brother that way , you b*st*rd !"", ' ( STEVE gets to his feet . )', ' [[Steve_Anderson]] sit down !', ' [[Steve_Anderson]] now', "" [[Gwen_Anderson]] he 's , uh ... he 's upset"", ' [[Gwen_Anderson]] he is not usually like this', ' [[Tyler_Anderson]] people are calling us killers', ' [[Tyler_Anderson]] and i miss my little brother', "" [[Grissom]] that still does n't mean you did n't kill him""]",0,None,0,0,Murder,0.6275016069412231,1
16,16,16,"[' ( GREG is in the quiet lab sitting at the table working . )', "" [[Grissom]] i hear you 're backlogged"", "" [[Greg_Sanders]] twenty 'unknowns ' from some drug shoot-out"", ' [[Greg_Sanders]] fbi special request', ' [[Greg_Sanders]] sheriff told me to clear it off my counter before i do anything else', ' [[Grissom]] these ?', ' [[Greg_Sanders]] yeah', ' [[Greg_Sanders]] you can almost smell quantico , you know ?', ' ( GRISSOM grabs the paperwork in front of GREG and puts it aside on the cart with all the samples on it . )', ' ( He then pushes the car out the door and into the hallway where it stops when it hits the wall . )', ' ( Everyone stops as they see the cart . )', "" ( NICK steps out into the hallway to see what 's up . )"", ' [[Grissom]] there', "" [[Grissom]] now they 're off your counter"", "" ( GREG does n't say anything . )"", ' ( He nods . )', ' ( GRISSOM takes out a file folder and the samples . )', ' [[Grissom]] zachary anderson , dob 01-23-01', ' [[Grissom]] date of death , three hours ago', ' [[Grissom]] until we find out how and why', ' ( GRISSOM puts the tray full of blood samples from the ANDERSON case in front of GREG . )', ' [[Grissom]] ... this is the only case you work on', ' [[Greg_Sanders]] yes , sir', ' ( GRISSOM steps out of the lab . )', ' ( In the Hallway , NICK and SARA watch . )', ' [[Nick]] never seen him like this before', ' ( NICK heads in one direction . )', ' ( Concerned , SARA heads to go find GRISSOM . )', ' ( She turns the corner and sees him walking through the hallway . )', ' [[Sara]] grissom ?', ' ( He turns around , still angry . )', ' [[Grissom]] what ?', ' ( SARA walks right up to him and talks softly . )', ' [[Sara]] you told me a few weeks ago that nothing is personal', ' [[Sara]] no victim should be special', ' ( GRISSOM stops as he definitely remembers telling SARA that back in 1X16 : Too Tough to Die . )', ' ( SARA pauses . )', ' [[Sara]] everyone follows your lead', "" [[Grissom]] everyone did n't find that baby"", ' [[Grissom]] i did', ' [[Grissom]] and that little boy is dead because someone lost their temper or screwed up , or god knows what', ' [[Grissom]] so , excuse me , but this victim is special', ' ( GRISSOM turns to leave and finds himself facing CATHERINE . )', ' [[Catherine]] mr and mrs anderson are calling', ' [[Catherine]] they want to know why you refuse to release the body for burial', ' [[Catherine]] they said that you gave the coroner strict instructions', ' ( He sighs . )', ' [[Grissom]] you better drive', ' ( GRISSOM leaves . )', ' [[Catherine]] sure', ' ( CATHERINE looks up at SARA . )', ' ( The two share a look . )', ' ( She then turns to follow GRISSOM . )', ' ( Camera holds on SARA . )']",0,None,0,0,Murder,0.6143360137939453,1
8,8,8,"[' ( GRISSOM finds another strand of hair in the crib . )', ' ( He puts it in a bindle . )', ' ( WARRICK walks into the room . )', ' [[Warrick]] what you got ?', ' [[Grissom]] two hairs , separate and distinctive', ' ( GRISSOM hands the bindles to WARRICK . )', ' [[Warrick]] ah', ' [[Warrick]] the plot thickens', ' ( GRISSOM walks around the room . )', ' ( He notices something . )', ' [[Grissom]] you smell something ?', ' ( WARRICK smells and sees something . )', ' [[Warrick]] i smell these dirty diapers over here', ' ( GRISSOM kneels down in front of the window . )', "" [[Grissom]] it 's like a household cleanser"", "" [[Grissom]] there 's a pine smell"", ' [[Warrick]] probably used to clean that diaper pail', "" [[Grissom]] no , it 's stronger than that"", ' ( GRISSOM puts his nose to the carpet . )', "" [[Grissom]] it 's emanating from this specific spot"", ' ( GRISSOM opens his kit and tests for blood . )', ' ( It shows positive . )', ' [[Warrick]] baby was killed before it even left the house', ' [[Warrick]] guy tried to cover his tracks', ' ( GRISSOM and WARRICK both look at the open window . )']",0,None,0,0,Murder,0.5780007243156433,1
15,15,15,"[' ( GRISSOM walks rapidly through the hallway . )', ' ( He sees SARA with a tech helping her carry the prints into the lab . )', "" [[Grissom]] are those from anderson 's company ?"", ' [[Sara]] yeah', "" [[Sara]] there 's like 200 of them in that place"", "" [[Sara]] i 'm going to test them against the ransom note , one by one"", "" [[Grissom]] you got homicide 's list of disgruntled employees ?"", ' [[Sara]] not yet', "" [[Sara]] they 're still working on it"", ' [[Grissom]] you call homicide back and tell them to get us that list now', ' ( GRISSOM turns and continues down the hallway leaving a stunned SARA behind . )', ' ( He sees WARRICK walking by with a file folder in his hand . )', ' [[Grissom]] hey', ' ( WARRICK stops to talk with GRISSOM . )', ' [[Warrick]] hey', ' [[Grissom]] where are we on those dna samples ?', "" [[Warrick]] i got the hair samples from the baby 's crib ready for comparison"", ' [[Grissom]] yeah ?', ' [[Grissom]] so answer my question', "" [[Warrick]] well , dna 's jammed"", "" [[Warrick]] sanders says he 'll get to the blood comparisons"", ' ( GRISSOM heads for the DNA LAB leaving WARRICK mid sentence . )', ' [[Warrick]] ... as soon as']",0,None,0,0,Murder,0.5341033935546875,1
