,Unnamed: 0,begin,end,filename,shot_id,transcript,topic,score
13320,13320,00:23:00:19,00:23:04:00,5264050645694159353.xml,471,"These exams, Oxford, everything, ",major life events,0.9994577765464783
7412,7412,00:44:45:11,00:44:46:08,5253646087419594905.xml,803,"You Slaters are real traditionalists!  Eh? Marriage, babies, commitment.",major life events,0.9992191195487976
5413,5413,00:56:25:15,00:56:28:12,5251033029316736209.xml,1097,"You've got school,  your play, and now your job.",major life events,0.9992182850837708
15721,15721,00:14:36:17,00:14:41:24,5266645664934403562.xml,290,"It's been quite a week for you,  the alleged incident with the gun...",major life events,0.9983969330787659
18089,18089,00:29:52:17,00:29:54:10,5269245838135402929.xml,553,"Yeah, and he's just  lost his job, hasn't he?",major life events,0.9982011914253235
3779,3779,01:23:55:21,01:23:57:12,5248439298566680341.xml,1699,"Look, it was a messy divorce.  What's with all the questions?",major life events,0.9981550574302673
12438,12438,01:34:12:21,01:34:17:20,5258818087037440299.xml,1807,you give them puberty or a  teenage crush to handle and...,major life events,0.9980354309082031
7147,7147,00:31:30:02,00:31:31:22,5253646087419594905.xml,538,You wanna get married first?  Why hang around?,major life events,0.9980006217956543
6870,6870,00:15:30:00,00:15:36:01,5253646087419594905.xml,261,# When will there be a harvest?  # When will there be a harvest? ,major life events,0.9979475140571594
16573,16573,00:59:58:18,01:00:02:20,5266645664934403562.xml,1142,"I'm running away from Dad,  from Stacey, from everyone. Will that make you happy?  You can't  live your life running away from everything, Bradley.",major life events,0.9978119134902954
4686,4686,00:19:04:11,00:19:12:09,5251033029316736209.xml,370,"I dunno, Jack.  You know,  it's a big decision, innit? If we're gonna give up our  home, our businesses, gonna make the kids leave their friends.",major life events,0.9977952837944031
9236,9236,00:31:16:19,00:31:20:11,5256228221757951173.xml,525,"It's Jase's funeral today, innit.  Oh.  I'm sorry, mate. ",major life events,0.9975364804267883
18288,18288,00:43:30:14,00:43:33:15,5269245838135402929.xml,752,"You didn't just give  me a gun, Stewart. You gave me your reputation,  your career...",major life events,0.9972426295280457
5550,5550,01:03:49:01,01:03:50:16,5251033029316736209.xml,1234,"If he's not satisfied, we might lose  our franchise, our livelihood.",major life events,0.9971728920936584
19626,19626,00:31:27:13,00:31:33:13,5271844722846213628.xml,596,"Roxy's just given birth,  all right.  She didn't mean half the things she said.",major life events,0.9968658089637756
15277,15277,02:15:17:23,02:15:20:00,5264050645694159353.xml,2428,"New house, new people,  a lot to take in.",major life events,0.9968026280403137
18640,18640,01:04:32:06,01:04:34:22,5269245838135402929.xml,1104,and now they lose their Mum.  Don't put that on me.,major life events,0.9967768788337708
4609,4609,00:15:00:14,00:15:03:06,5251033029316736209.xml,293,"Trouble is, Tony's not into  the whole wedding thing.",major life events,0.9967479705810547
8022,8022,01:21:04:22,01:21:10:08,5253646087419594905.xml,1413,"So, as well as being my husband,  you're now a property magnate?",major life events,0.996709942817688
11460,11460,00:41:03:23,00:41:06:15,5258818087037440299.xml,829,(We're moving to France. ) ,major life events,0.9966753721237183
7787,7787,01:06:34:08,01:06:51:14,5253646087419594905.xml,1178,"You are OK with this,  aren't you, Patrick? The move to Birmingham,  and everything? I have been so contented being here, ",major life events,0.9966644048690796
22572,22572,01:21:40:01,01:21:46:06,5274434588125702436.xml,1479,"But I've got a lot going on  right now. If you hadn't noticed,  your mum is in prison.",major life events,0.9965873956680298
20434,20434,01:13:30:19,01:13:33:20,5271844722846213628.xml,1404,"And this is it, is it?  Your life-changing decision?",major life events,0.996489942073822
11046,11046,00:19:53:01,00:19:56:13,5258818087037440299.xml,415,"It ain't his fault  he lost his dad, is it?",major life events,0.9963346123695374
4035,4035,01:38:47:11,01:38:55:17,5248439298566680341.xml,1955,"Bradley's got our whole lives mapped  out.  Kids, mortgage, pension plan... He's probably already decided what  we're doing for our ruby wedding. I think that's sweet.",major life events,0.9962214827537537
11195,11195,00:27:26:07,00:27:30:04,5258818087037440299.xml,564,"It's a big move, ain't it?  Yeah. Look, I just want us to be out of  here.  Right?  The sooner, the better.",major life events,0.9962020516395569
6868,6868,00:15:26:03,00:15:28:02,5253646087419594905.xml,259,# When will there be a harvest? ,major life events,0.9960867166519165
7980,7980,01:18:03:01,01:18:07:02,5253646087419594905.xml,1371,"Could hardly believe it myself.  But yep, new job,  new challenge, new...home.",major life events,0.9959748387336731
6871,6871,00:15:36:02,00:15:40:15,5253646087419594905.xml,262,# When will there be a harvest  for the world?  #,major life events,0.995927095413208
17278,17278,01:39:41:02,01:39:47:03,5266645664934403562.xml,1847,"losing his father...  I mean, poor Sean. He was only 15 when  it happened, and do you know,",major life events,0.9958740472793579
18639,18639,01:04:26:04,01:04:32:05,5269245838135402929.xml,1103,"So they lose their old man,  and what they stupidly thought was a good childhood,",major life events,0.9956749677658081
20055,20055,00:52:55:21,00:52:58:13,5271844722846213628.xml,1025,Watching you go into  that delivery room...,major life events,0.9956328868865967
18644,18644,01:04:59:19,01:05:08:04,5269245838135402929.xml,1108,"the wife while she gets  found out and dumped... can you imagine what her brief's  going to do to you in that box. Eh?  What the press are going to say?  That you're some  bitter, vengeful little slut.",major life events,0.9955798387527466
7695,7695,01:00:51:20,01:00:56:00,5253646087419594905.xml,1086,Party?  Bradley and Stacey are renewing their vows.,major life events,0.9955500364303589
144,144,00:08:33:01,00:08:42:21,5245830105934359183.xml,145,She's got a little kid growing  inside of her. She's gonna have days when her  hormones are all over the shop.,major life events,0.9955348968505859
11461,11461,00:41:06:16,00:41:09:17,5258818087037440299.xml,830,"What?!  Me, Jack and the kids, we're moving to France.",major life events,0.9953585863113403
12776,12776,01:53:41:05,01:53:42:02,5258818087037440299.xml,2145,Judgement Day for Max. ,major life events,0.9953276515007019
14842,14842,01:48:04:19,01:48:06:12,5264050645694159353.xml,1993,"No, it doesn't.  It must. It doesn't. We're gonna start our new lives.",major life events,0.9953177571296692
7373,7373,00:43:23:14,00:43:25:01,5253646087419594905.xml,764,"So, big news about  your mum, eh? Yeah.",major life events,0.9952863454818726
10281,10281,01:31:52:01,01:31:56:15,5256228221757951173.xml,1570,"I've gotta put in an application,  I've gotta fill in forms,",major life events,0.9952588677406311
17964,17964,00:21:32:11,00:21:34:04,5269245838135402929.xml,428,"But, Dad, I'm going to uni. ",major life events,0.9951696991920471
4045,4045,01:39:28:04,01:39:35:20,5248439298566680341.xml,1965,"Right, Kelly's having a large one.  Is Kerry up for it, or what?",major life events,0.9951366186141968
19497,19497,00:23:32:20,00:23:34:03,5271844722846213628.xml,467,What about her?  She's in labour.,major life events,0.9951003789901733
3246,3246,00:59:51:17,00:59:53:11,5248439298566680341.xml,1166,"Must be doing all right, what with  the club and buying this place.",major life events,0.9950051307678223
7200,7200,00:33:57:12,00:33:58:19,5253646087419594905.xml,591,You're gonna marry my mum? ,major life events,0.9949145913124084
7420,7420,00:45:30:17,00:45:31:12,5253646087419594905.xml,811,Your mum and Tony? ,major life events,0.9948245286941528
14950,14950,01:55:12:04,01:55:16:23,5264050645694159353.xml,2101,I don't have a choice!  We're either going or we're not.,major life events,0.9946539998054504
10013,10013,01:15:48:07,01:15:52:02,5256228221757951173.xml,1302,Let's just hope  there is a wedding.,major life events,0.9946208000183105
11491,11491,00:42:44:03,00:42:46:06,5258818087037440299.xml,860,"I mean, I'm uprooting them from  their school, from their friends.",major life events,0.994605541229248
21513,21513,00:24:14:04,00:24:17:07,5274434588125702436.xml,420,No!  It's her birthday.,major life events,0.9945536851882935
4156,4156,01:46:09:09,01:46:16:05,5248439298566680341.xml,2076,"You know, land some flashy job,  move into a trendy apartment  with a gorgeous bloke bringing me breakfast in bed.",major life events,0.9944481253623962
21131,21131,00:02:20:17,00:02:22:03,5274434588125702436.xml,38,Your birthday! ,major life events,0.9943586587905884
11233,11233,00:29:34:24,00:29:37:00,5258818087037440299.xml,602,How's she gonna feel when she finds  out she's not even gonna be here for these elections.,major life events,0.9942651391029358
7146,7146,00:31:28:14,00:31:30:01,5253646087419594905.xml,537,we were splashing out on a wedding. ,major life events,0.9942391514778137
20436,20436,01:13:35:04,01:13:36:22,5271844722846213628.xml,1406,You're going to be a daddy?  You? ,major life events,0.9942092299461365
10032,10032,01:16:47:06,01:16:51:03,5256228221757951173.xml,1321,"Jay, I've had me own stuff  to deal with, all right? Like what?  Like your dad dying?  Someone stopping you from helping him?",major life events,0.9942079186439514
11661,11661,00:51:59:14,00:52:05:19,5258818087037440299.xml,1030,"""Jack's taken my wife and kids  so it's time to start paying attention to Bradley?""",major life events,0.9941473603248596
18228,18228,00:38:04:23,00:38:16:05,5269245838135402929.xml,692,What with everything  going on I've got behind. I've got personal problems  but you don't hear me making excuses. Ian. I don't want to see him  getting sacked for incompetence. You know what it's like  when customers complain.,major life events,0.9940747618675232
7270,7270,00:37:58:20,00:38:02:03,5253646087419594905.xml,661,So are you actually  gonna marry her or not?,major life events,0.9940444827079773
19519,19519,00:24:50:10,00:24:58:16,5271844722846213628.xml,489,Hey!  My wife...she's just had a  baby. Maternity.  Just on the right. OK.  Thank you.,major life events,0.9940077662467957
19273,19273,00:11:57:20,00:12:03:02,5271844722846213628.xml,243,I can remember when I went  into labour with Chelsea.,major life events,0.9939129948616028
4100,4100,01:42:49:04,01:42:52:23,5248439298566680341.xml,2020,It stopped the day I stopped  being a copper.,major life events,0.993892252445221
19842,19842,00:42:08:24,00:42:12:16,5271844722846213628.xml,812,"Cos I've gotta go down  the Old Bill, pick up my motor. Fire this up for me.",major life events,0.9938108325004578
12981,12981,00:06:37:12,00:06:38:22,5264050645694159353.xml,132,"Well, Darren's got his test.  And? Oh, sorry.  No offence, Darren, love, but you know, getting into Oxford is more important  than passing your driving test.",major life events,0.993450939655304
22530,22530,01:18:12:21,01:18:14:12,5274434588125702436.xml,1437,I'm not going to a concert!  I'm moving in with Uncle Jack.,major life events,0.9934256672859192
19351,19351,00:17:01:07,00:17:04:00,5271844722846213628.xml,321,I was nearly five when I lost my mum. ,major life events,0.9933735728263855
7390,7390,00:44:03:07,00:44:05:10,5253646087419594905.xml,781,Has she said anything to you about  us getting engaged? Not a word.,major life events,0.9933722615242004
17644,17644,00:04:54:22,00:04:56:22,5269245838135402929.xml,108,Yesterday we were  rushed off our feet.,major life events,0.9933643937110901
3069,3069,00:50:28:14,00:50:31:00,5248439298566680341.xml,989,Just like we're all going to die. ,major life events,0.9933508038520813
12911,12911,00:03:25:13,00:03:38:07,5264050645694159353.xml,62,"And now you've moved  up in the world - driving a mini-cab and...  Helping out old friends. Patrick is away visiting Yolande.  Heather, she's called in sick, so me and Chelsea are helping out.",major life events,0.9932975172996521
18839,18839,01:16:46:19,01:16:52:07,5269245838135402929.xml,1303,"We are going to be homeless, yeah,  with a baby to look after...",major life events,0.9932884573936462
10297,10297,01:32:51:01,01:32:53:17,5256228221757951173.xml,1586,"Meeting my sister will be surprise  enough, let alone my girlfriend.",major life events,0.993283212184906
8243,8243,01:32:13:19,01:32:15:22,5253646087419594905.xml,1634,"She was saying she's not going  on the French trip anymore. No.  No, she isn't.",major life events,0.9932799339294434
8792,8792,00:04:39:12,00:04:41:11,5256228221757951173.xml,81,"Well, you're not 19 anymore. ",major life events,0.9931930899620056
7275,7275,00:38:12:13,00:38:15:23,5253646087419594905.xml,666,There's gonna be a wedding  whether you're in it or not.,major life events,0.9930258989334106
8905,8905,00:10:37:17,00:10:50:18,5256228221757951173.xml,194,"If Pat wants sandwiches,  let her make them herself. Archie, I said I would.  It's a big day for her.",major life events,0.9929611086845398
164,164,00:10:15:16,00:10:17:20,5245830105934359183.xml,165,What are you gonna do  about a job and money?,major life events,0.9929537773132324
16879,16879,01:18:37:10,01:18:38:22,5266645664934403562.xml,1448,Do you want to see your  birthday card?,major life events,0.9929123520851135
5424,5424,00:56:44:13,00:56:50:14,5251033029316736209.xml,1108,"You've changed, Whitney. ",major life events,0.9928663969039917
19331,19331,00:15:29:07,00:15:38:15,5271844722846213628.xml,301,"She married me, didn't she?  You know, I remember when  Mum and Dad brought you home",major life events,0.9927991628646851
15106,15106,02:04:34:16,02:04:37:19,5264050645694159353.xml,2257,"Yeah, well.  They've got busy lives,  haven't they?",major life events,0.9927654266357422
14249,14249,01:14:27:20,01:14:30:18,5264050645694159353.xml,1400,to start a new life which  you are gonna have no part in.,major life events,0.992497444152832
2573,2573,00:25:39:18,00:25:44:18,5248439298566680341.xml,493,Celebrating?  Bianca's step-daughter's landed the main part in the school play.,major life events,0.9924939274787903
7817,7817,01:08:14:23,01:08:17:02,5253646087419594905.xml,1208,"You getting married too, Charlie? ",major life events,0.9924721717834473
9049,9049,00:19:28:11,00:19:34:05,5256228221757951173.xml,338,You finished on the boat?  It weren't right. How can I be laughing  after everything I've done?,major life events,0.9924641251564026
21820,21820,00:39:47:18,00:39:49:20,5274434588125702436.xml,727,He's moved out.  He's moved where?,major life events,0.9924488067626953
1558,1558,01:23:59:09,01:24:01:21,5245830105934359183.xml,1559,Her fella's getting out  of prison today.,major life events,0.9923202395439148
7703,7703,01:01:18:16,01:01:22:17,5253646087419594905.xml,1094,"me and Stace renewing our vows...  Well, you wouldn't have called  the vicar if you didn't think so, would ya?",major life events,0.9923039674758911
22476,22476,01:16:02:23,01:16:06:06,5274434588125702436.xml,1383,So tomorrow's the big day?  Yep.,major life events,0.9922377467155457
7220,7220,00:34:43:16,00:34:45:15,5253646087419594905.xml,611,"You what?  Yeah, cos Tony can't wait to get me down the aisle,",major life events,0.9921812415122986
8426,8426,01:41:38:06,01:41:43:15,5253646087419594905.xml,1817,It's really gonna kick off now.  Oi!  Oi! ,major life events,0.9921318888664246
14231,14231,01:13:15:11,01:13:17:03,5264050645694159353.xml,1382,"First you beat me up  in the house, then you kidnap me.",major life events,0.9921225905418396
3572,3572,01:13:33:11,01:13:37:11,5248439298566680341.xml,1492,"You've gotta do it in front of  people sometimes.  Don't be shy. All right, it's the bit where  he kills her cousin.",major life events,0.9920679330825806
9256,9256,00:32:30:18,00:32:32:08,5256228221757951173.xml,545,"What, you think I'm going to jump  on Dawn at her fiance's funeral?",major life events,0.992063045501709
21432,21432,00:19:36:15,00:19:38:17,5274434588125702436.xml,339,How you gonna cope with a baby?  Jack's gotta go now.,major life events,0.9920374155044556
10811,10811,00:07:06:22,00:07:08:18,5258818087037440299.xml,180,"I've got too much to do!  I've gotta get movers, I've gotta check on the salon...",major life events,0.9920016527175903
22897,22897,01:38:18:00,01:38:20:01,5274434588125702436.xml,1804,Getting back together  with your first love. Hm.,major life events,0.9919012188911438
10364,10364,01:37:56:17,01:38:01:08,5256228221757951173.xml,1653,"Suppose you waited till you  got married, got one up on your sister. So, um...",major life events,0.9917715787887573
12238,12238,01:20:56:18,01:21:02:03,5258818087037440299.xml,1607,You lost a baby? ,major life events,0.9917360544204712
4594,4594,00:14:14:05,00:14:29:13,5251033029316736209.xml,278,"yeah, well, it is  a big step, isn't it? Listen, why don't  we take that break? You love all that outdoorsy stuff.  It'll be fun.  I am owed time off.  And I bet Amir could do me a deal.  We're still young, Bradley.  Let's make the most  of it for a bit longer.",major life events,0.9917227029800415
8398,8398,01:40:29:12,01:40:33:17,5253646087419594905.xml,1789,I got in the football team!  That's nice.  Nice?  It's wicked! You should have seen the kids.,major life events,0.9916602373123169
7666,7666,00:59:22:19,00:59:28:17,5253646087419594905.xml,1057,"Er, I want us to do it again.  The whole wedding thing, you know.  You and me. ",major life events,0.9915963411331177
13077,13077,00:11:12:00,00:11:14:14,5264050645694159353.xml,228,"You can say goodbye to  all your mates, but can't say anything to your dad?",major life events,0.9914921522140503
5230,5230,00:46:17:12,00:46:28:23,5251033029316736209.xml,914,"You've...got your hands  full with Archie, ain't ya?",major life events,0.9914279580116272
19330,19330,00:15:14:23,00:15:29:06,5271844722846213628.xml,300,"This has gotta change, Sean.  What has?  Breaking into clubs. Disappearing for nights on end. You're gonna be a dad  in a couple of months. Look, Roxy knows what she's letting  herself in for, OK? Does she?",major life events,0.9913535118103027
18552,18552,00:59:28:03,00:59:29:07,5269245838135402929.xml,1016,"And if it fails, then we've  ruined his future and Shabnam's.",major life events,0.9912696480751038
17666,17666,00:05:34:01,00:05:37:11,5269245838135402929.xml,130,"But you can't cos we're moving,  ain't we?",major life events,0.9911488890647888
6372,6372,01:44:13:16,01:44:15:11,5251033029316736209.xml,2056,We're just starting to be  a proper family again.,major life events,0.9910939931869507
17882,17882,00:17:06:15,00:17:09:02,5269245838135402929.xml,346,This is so exciting!  Yee!  Yee!  Ha ha!  We're going to Vegas!!,major life events,0.9910799264907837
19166,19166,00:07:02:16,00:07:07:00,5271844722846213628.xml,136,"Some pregnancies just don't last  the full term. Ron, I can't do this for her  to turn round and tell me she didn't make it.",major life events,0.9910619854927063
20561,20561,01:20:23:19,01:20:33:15,5271844722846213628.xml,1531,"Someone's gotta be there when  Max wakes up. No, no, sorry. Well, I can't not show up,  as much as I don't want to. Yeah, well, um... ",major life events,0.9910619258880615
16478,16478,00:54:51:15,00:54:54:14,5266645664934403562.xml,1047,What did the grumpy old man  say when he was told his daughter was moving out?,major life events,0.9908745884895325
