,Unnamed: 0,begin,end,filename,shot_id,transcript,soap opera,score
3326,3326,01:03:16:08,01:03:18:08,5248439298566680341.xml,1246,"Oh, yeah.  It'll be Phil, Ben,  Archie, Roxy, Ronnie...",0.9638141989707947,1.9276283979415894
582,582,00:33:03:19,00:33:05:01,5245830105934359183.xml,583,Got any arsenic?  The Beales are on.,0.9564902782440186,1.912980556488037
11016,11016,00:17:25:18,00:17:36:14,5258818087037440299.xml,385,"Poor old Joel, you know...  His letter...  just keeps going around up here. What were you hoping for, eh,  raking up the past?",0.9215522408485413,1.8431044816970825
1864,1864,01:42:32:15,01:42:34:01,5245830105934359183.xml,1865,Bianca... ,0.9062914848327637,1.8125829696655273
4028,4028,01:38:18:18,01:38:21:11,5248439298566680341.xml,1948,"Who knows how his mind works?  It comes with the territory.  If you were just doing your job, why would Selena blame you? I dunno!",0.8834517002105713,1.7669034004211426
16331,16331,00:44:54:09,00:45:04:22,5266645664934403562.xml,900,"Ian sent this over.  Right, will you tell him thanks?  I bet you're having a right  mare at the minute, in't ya? Jack still here, is he? Um, Bianca I really...  So's the police told you anything?",0.871449887752533,1.742899775505066
15796,15796,00:18:55:20,00:18:59:08,5266645664934403562.xml,365,"Everywhere I've been today,  it's been Max this and Jack that.",0.8611669540405273,1.7223339080810547
19043,19043,00:00:47:16,00:00:50:01,5271844722846213628.xml,13,"Yeah.  It's the Queen Vic... WOMAN GROANS  ..Albert Square, yeah...Walford.",0.844919741153717,1.689839482307434
2466,2466,00:20:30:05,00:20:31:22,5248439298566680341.xml,386,The main part! Julie  in Romeo and Julie! Romeo and Julie?,0.8370662331581116,1.6741324663162231
5104,5104,00:39:07:08,00:39:10:02,5251033029316736209.xml,788,"Oh, Mrs Branning,  what's happened?  You look awful.",0.8334483504295349,1.6668967008590698
9562,9562,00:49:14:08,00:49:18:19,5256228221757951173.xml,851,Suzy?  What about her?  Well... she's accusing me of cheating on you. Apparently with Suzy.,0.8323929905891418,1.6647859811782837
16060,16060,00:31:19:02,00:31:26:09,5266645664934403562.xml,629,"He's only trying to help.  Every time I fart in that  place it becomes a family debate. It's just...  It's none of  their business, you know.",0.8257412910461426,1.6514825820922852
12697,12697,01:49:46:17,01:49:50:19,5258818087037440299.xml,2066,"It's not real, Ian. ",0.819456934928894,1.638913869857788
16518,16518,00:56:54:22,00:56:55:17,5266645664934403562.xml,1087,"They're in Walford though, eh? ",0.8164693117141724,1.6329386234283447
9851,9851,01:06:29:21,01:06:31:01,5256228221757951173.xml,1140,"Bit full-on -  ""Lee, here's my sister, Jane.""",0.8054209351539612,1.6108418703079224
15146,15146,02:06:21:09,02:06:55:22,5264050645694159353.xml,2297,"I didn't mean nothing by it.  It's all right.  Now I know  what you really think of me... Poor, sad, old cow stuck here,  living her life off the back of other people's drama. Oh, course I don't.  But you're wrong, you know? A couple of months back, I...  I nearly ran away.  I was gonna sell up, move to Spain.  Then I changed my mind.  And I'm glad I did,  cos you turned up with a whole new brood for me to get to know. The weather may not be so good  and the view ain't exactly idyllic...",0.7848964333534241,1.5697928667068481
8242,8242,01:32:07:06,01:32:13:18,5253646087419594905.xml,1633,"Um, Lauren was in with Lucy earlier. ",0.7595319747924805,1.519063949584961
18644,18644,01:04:59:19,01:05:08:04,5269245838135402929.xml,1108,"the wife while she gets  found out and dumped... can you imagine what her brief's  going to do to you in that box. Eh?  What the press are going to say?  That you're some  bitter, vengeful little slut.",0.7569087147712708,1.5138174295425415
14806,14806,01:45:39:16,01:45:42:23,5264050645694159353.xml,1957,"Just leave Penny out of this!  No, she was a casualty in all this. Who's next?  Oscar?  The girls? No.",0.7350955605506897,1.4701911211013794
18731,18731,01:09:36:19,01:09:39:05,5269245838135402929.xml,1195,# Der-duh-duh-duh-duh-duh-duh...  # ,0.7328008413314819,1.4656016826629639
1873,1873,01:43:03:08,01:43:04:21,5245830105934359183.xml,1874,Bianca?! ,0.7321090698242188,1.4642181396484375
5837,5837,01:18:00:14,01:18:02:02,5251033029316736209.xml,1521,I think we've just been set up. ,0.7217989563941956,1.4435979127883911
